"fund","weight in portfolio","portfolio value","reporting date","bond","weight","country","issuer","maturity","rating"
"Advisory Research MLP & Energy Income I",19.61,768719234,"30/11/2015","Western Refng 6.25%",3.2,"USA","WESTERN REFINING","1/4/2021","B2"
"Advisory Research MLP & Energy Income I",19.61,768719234,"30/11/2015","Oneok Inc New 6%",2.54,"USA","ONEOK INC","15/6/2035","BB1"
"Advisory Research MLP & Energy Income I",19.61,768719234,"30/11/2015","Pbf Hldg Co Llc / Pbf Fin 8.25%",2.14,"USA","PBF HOLDING CO","15/2/2020","BB2"
"Advisory Research MLP & Energy Income I",19.61,768719234,"30/11/2015","Dcp Midstream 144A 6.75%",1.72,"USA","DCP MIDSTREAM","15/9/2037","BB2"
"Advisory Research MLP & Energy Income I",19.61,768719234,"30/11/2015","Williams Cos Inc Del 8.75%",1.47,"USA","WILLIAMS COS","15/3/2032","BB1"
"Advisory Research MLP & Energy Income I",19.61,768719234,"30/11/2015","Rockies Express Pipe 144A 5.625%",1.21,"USA","ROCKIES EXPRESS","15/4/2020","BB2"
"Advisory Research MLP & Energy Income I",19.61,768719234,"30/11/2015","Oneok Inc New 4.25%",1.14,"USA","ONEOK INC","1/2/2022","BB1"
"Advisory Research MLP & Energy Income I",19.61,768719234,"30/11/2015","Qep Res 6.875%",1.09,"USA","QEP RESOURCES","1/3/2021","BB3"
"Advisory Research MLP & Energy Income I",19.61,768719234,"30/11/2015","Pbf Hldg Co Llc / Pbf Fin 144A 7%",1.01,"USA","PBF HOLDING CO","15/11/2023","BB2"
"Advisory Research MLP & Energy Income I",19.61,768719234,"30/11/2015","Antero Res Fin 6%",0.97,"USA","ANTERO RESOURCES","1/12/2020","BB3"
"Advisory Research MLP & Energy Income I",19.61,768719234,"30/11/2015","Range Res 5%",0.79,"USA","RANGE RESOURCES","15/3/2023","BB3"
"Advisory Research MLP & Energy Income I",19.61,768719234,"30/11/2015","Antero Res 5.125%",0.76,"USA","ANTERO RESOURCES","1/12/2022","BB3"
"Advisory Research MLP & Energy Income I",19.61,768719234,"30/11/2015","Tesoro 5.375%",0.36,"USA","TESORO CORP","1/10/2022","BB2"
"Advisory Research MLP & Energy Income I",19.61,768719234,"30/11/2015","Denbury Res 6.375%",0.32,"USA","DENBURY RESOURCE","15/8/2021","CCC2"
"Advisory Research MLP & Energy Income I",19.61,768719234,"30/11/2015","Rockies Express Pipe 144A 6.85%",0.31,"USA","ROCKIES EXPRESS","15/7/2018","BB2"
"Advisory Research MLP & Energy Income I",19.61,768719234,"30/11/2015","Duke Engy Field Svcs 8.125%",0.25,"USA","DUKE ENERGY FIEL","16/8/2030","BB2"
"Advisory Research MLP & Energy Income I",19.61,768719234,"30/11/2015","Range Res 5.75%",0.22,"USA","RANGE RESOURCES","1/6/2021","BB3"
"Advisory Research MLP & Energy Income I",19.61,768719234,"30/11/2015","Questar Mkt Res 6.8%",0.11,"USA","QUESTAR MARKET","1/4/2018","BB3"
"Advisory Research MLP & Energy Infras I",17.11,429288297,"30/11/2015","Western Refng 6.25%",2.83,"USA","WESTERN REFINING","1/4/2021","B2"
"Advisory Research MLP & Energy Infras I",17.11,429288297,"30/11/2015","Oneok Inc New 6%",2.17,"USA","ONEOK INC","15/6/2035","BB1"
"Advisory Research MLP & Energy Infras I",17.11,429288297,"30/11/2015","Pbf Hldg Co Llc / Pbf Fin 8.25%",1.99,"USA","PBF HOLDING CO","15/2/2020","BB2"
