"","Fund_Name","WiP","weightedOAS","portfolioVal","chartName"
"1","1290 High Yield Bond A",10.32,1517.95445736434,25808047,"1290
High
Yield
Bond
A"
"2","1290 Unconstrained Bond Managers A",0.08,675,50780104,"1290
Unconstrained
Bond
Managers
A"
"3","AAM Select Income A",1.73,575.884393063584,33626334,"AAM
Select
Income
A"
"4","AAM/HIMCO Short Duration A",0.35,658.228571428572,56571252,"AAM/HIMCO
Short
Duration
A"
"5","AAM/HIMCO Unconstrained Bond I",3.18,1563.2106918239,50266774,"AAM/HIMCO
Unconstrained
Bond
I"
"6","AB All Market Income A",2.17,2087.84331797235,17065189,"AB
All
Market
Income
A"
"7","AB Balance Wealth Strategy A",0.43,1372.6976744186,1062599301,"AB
Balance
Wealth
Strategy
A"
"8","AB Bond Inflation Strategy A",0.22,1207.40909090909,439519402,"AB
Bond
Inflation
Strategy
A"
"9","AB Conservative Wealth Strategy A",0.06,1197,303673541,"AB
Conservative
Wealth
Strategy
A"
"10","AB Corporate Income",0.74,692.972972972973,62096836,"AB
Corporate
Income"
"11","AB Credit Long/Short A",6.82,2554.09530791789,17750451,"AB
Credit
Long/Short
A"
"12","AB Global Bond A",0.24,1219.25,4740265951,"AB
Global
Bond
A"
"13","AB High Income A",4.85,2130.40412371134,5407597757,"AB
High
Income
A"
"14","AB High Yield A",6.14,2315.02768729642,15766240,"AB
High
Yield
A"
"15","AB Intermediate Bond A",0.57,957.719298245614,349797293,"AB
Intermediate
Bond
A"
"16","AB Limited Duration High Income A",4.4,1392.6,269678677,"AB
Limited
Duration
High
Income
A"
"17","AB Multi-Manager Alternative Strats A",0.9,1077.72222222222,262970385,"AB
Multi-Manager
Alternative
Strats
A"
"18","AB Tax Managed Balanced Wealth Strat A",0.02,1002.5,142298094,"AB
Tax
Managed
Balanced
Wealth
Strat
A"
"19","AB Tax-Managed Cnsrv Wlth Strat A",0.01,881,44826929,"AB
Tax-Managed
Cnsrv
Wlth
Strat
A"
"20","AB Tax-Managed Wealth Apprec Strat A",0.02,1002.5,660204000,"AB
Tax-Managed
Wealth
Apprec
Strat
A"
"21","AB Unconstrained Bond A",0.01,1000,332885828,"AB
Unconstrained
Bond
A"
"22","AB Wealth Appreciation Strategy A",0.03,962,1275864603,"AB
Wealth
Appreciation
Strategy
A"
"23","Aberdeen Global Fixed Income Instl Svc",1.73,1643.92485549133,13405847,"Aberdeen
Global
Fixed
Income
Instl
Svc"
"24","Aberdeen Global High Income A",4.2,1461.82380952381,900605121,"Aberdeen
Global
High
Income
A"
"25","Absolute Credit Opportunities Instl",1.36,4834,19522690,"Absolute
Credit
Opportunities
Instl"
"26","Absolute Strategies I",0.25,4834,714548709,"Absolute
Strategies
I"
"27","AC Alternatives Income A",2.32,3933.05172413793,51613487,"AC
Alternatives
Income
A"
"28","Active Port® Multi-Mgr Core Plus Bond A",0.62,830.854838709677,5549817961,"Active
Port®
Multi-Mgr
Core
Plus
Bond
A"
"29","Advantus Short Duration Bond Instl",1.58,1133.39240506329,29291622,"Advantus
Short
Duration
Bond
Instl"
"30","Advantus Strategic Dividend Income Instl",0.64,1077,76067882,"Advantus
Strategic
Dividend
Income
Instl"
"31","Advisory Research MLP & Energy Income I",19.61,835.59918408975,768719234,"Advisory
Research
MLP
&
Energy
Income
I"
"32","Advisory Research MLP & Energy Infras I",17.11,839.706604324956,429288297,"Advisory
Research
MLP
&
Energy
Infras
I"
"33","Advisory Research Strategic Income",3.38,1009.93786982249,33823456,"Advisory
Research
Strategic
Income"
"34","AI Boyd Watterson Core Plus Instl",1.09,243,94350857,"AI
Boyd
Watterson
Core
Plus
Instl"
"35","AllianzGI High Yield Bond Institutional",9.56,3477.84414225941,300146639,"AllianzGI
High
Yield
Bond
Institutional"
"36","AllianzGI Income & Growth A",2.52,2743.79761904762,2948249286,"AllianzGI
Income
&
Growth
A"
"37","AllianzGI Short Duration High Inc A",6.23,1254.43178170144,843761249,"AllianzGI
Short
Duration
High
Inc
A"
"38","ALPS/Westport Resources Hedged Hi Inc A",4.43,3744.90293453725,16621394,"ALPS/Westport
Resources
Hedged
Hi
Inc
A"
"39","Altegris Fixed Income Long Short A",2.44,5487.23770491803,141451476,"Altegris
Fixed
Income
Long
Short
A"
"40","Altegris Futures Evolution Strategy A",0.13,7911.46153846154,464430047,"Altegris
Futures
Evolution
Strategy
A"
"41","AmericaFirst Income Trends A",0,NA,20207470,"AmericaFirst
Income
Trends
A"
